identity,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,urban,lwage
1,769,40,93,35,12,11,2,31,1,0,1,6.645091
2,808,50,119,41,18,11,16,37,1,0,1,6.694562
3,825,40,108,46,14,11,9,33,1,0,1,6.715384
4,650,40,96,32,12,13,7,32,1,0,1,6.476973
5,562,40,74,27,11,14,5,34,1,0,1,6.331502
6,1400,40,116,43,16,14,2,35,1,1,1,7.244227
7,600,40,91,24,10,13,0,30,0,0,1,6.39693
8,1081,40,114,50,18,8,14,38,1,0,1,6.985642
9,1154,45,111,37,15,13,1,36,1,0,0,7.05099
10,1000,40,95,44,12,16,16,36,1,0,1,6.907755
11,930,43,132,44,18,8,13,38,1,0,0,6.835185
12,921,38,102,45,14,9,11,33,1,0,0,6.82546
13,900,45,125,40,15,4,3,30,0,0,0,6.802395
14,1318,38,119,24,16,7,2,28,1,0,1,7.183871
15,1792,40,118,47,16,9,9,34,1,0,1,7.491087
16,958,50,105,37,10,17,2,35,1,0,1,6.864848
17,1360,45,109,39,15,6,9,36,1,0,1,7.21524
18,850,40,72,36,11,19,10,38,1,0,1,6.745236
19,830,44,105,29,14,4,7,29,1,0,1,6.721426
20,471,44,101,34,12,13,7,31,1,0,1,6.154858
21,1275,40,123,37,14,9,1,31,1,0,1,7.150702
22,1615,50,113,49,16,10,4,36,1,0,1,7.38709
23,873,65,95,36,12,14,3,38,1,0,1,6.771935
24,2137,45,145,50,16,17,8,38,1,0,1,7.667158
25,1053,38,114,35,16,12,7,32,1,0,1,6.959399
26,1602,60,124,32,16,8,9,29,1,0,1,7.379008
27,1188,40,93,40,13,16,5,35,1,0,1,7.080027
28,800,40,115,39,18,11,1,35,1,0,1,6.684612
29,1417,48,125,41,17,9,4,34,1,0,1,7.256297
30,635,40,128,35,18,8,13,36,0,0,1,6.453625
31,1000,40,103,40,12,17,2,34,1,0,1,6.907755
32,1424,50,98,41,14,15,4,35,1,0,1,7.261225
33,2668,75,108,41,13,12,2,32,1,0,1,7.889084
34,666,75,129,40,18,8,12,38,1,0,0,6.50129
35,1779,40,132,42,17,8,9,32,1,0,1,7.483807
36,782,40,92,24,13,9,10,31,1,0,1,6.661855
37,1572,35,108,39,14,7,5,28,1,1,1,7.360104
38,1274,40,106,35,13,11,12,31,1,0,1,7.149917
39,714,35,105,37,16,9,2,29,1,0,1,6.570883
40,1081,40,123,46,18,11,7,36,1,0,0,6.985642
41,692,40,108,48,12,21,11,38,1,0,1,6.539586
42,1318,38,122,47,17,10,9,33,1,0,1,7.183871
43,1239,45,109,44,12,16,4,38,1,0,1,7.12206
44,1027,27,100,40,13,12,15,38,1,0,1,6.934397
45,1748,55,125,50,18,12,12,34,1,0,1,7.466228
46,981,40,122,41,14,9,15,35,0,0,1,6.888573
47,770,40,105,34,17,7,11,30,1,0,1,6.64639
48,1154,50,94,37,16,11,5,33,1,0,1,7.05099
49,1155,40,102,36,12,16,5,34,1,0,1,7.051856
50,808,60,109,47,13,14,12,38,1,0,1,6.694562
51,1100,40,105,45,12,22,14,38,1,0,1,7.003066
52,1154,40,134,46,18,10,10,37,1,0,1,7.05099
53,1749,40,108,32,12,13,9,29,0,0,1,7.466799
54,1000,50,104,36,16,11,8,30,1,0,1,6.907755
55,462,40,112,35,12,11,1,29,1,0,1,6.135565
56,769,55,120,49,18,8,12,32,0,0,1,6.645091
57,875,50,124,40,16,9,3,31,0,0,0,6.774224
58,1375,40,103,34,12,12,7,29,1,0,1,7.226209
59,1452,45,115,45,17,1,7,30,1,0,1,7.280697
60,800,40,96,33,12,17,12,35,1,0,1,6.684612
61,1748,55,123,48,17,10,7,36,1,0,1,7.466228
62,1151,40,98,34,12,12,12,29,1,0,1,7.048387
63,840,50,96,34,12,18,13,35,1,0,1,6.733402
64,978,45,89,47,12,17,2,38,1,0,1,6.885509
65,619,42,93,20,12,10,10,28,0,0,1,6.428105
66,442,60,82,32,12,12,0,33,1,0,1,6.09131
67,600,40,120,45,15,12,1,38,1,0,0,6.39693
68,1366,38,122,38,12,15,15,32,1,0,1,7.219642
69,1643,48,117,48,18,8,2,33,1,0,1,7.404279
70,1455,40,109,44,16,8,13,36,1,0,1,7.282761
71,2310,40,114,55,18,12,7,38,1,0,1,7.745003
72,1682,45,126,40,16,10,11,31,1,0,1,7.427739
73,1235,40,82,45,12,10,2,33,1,0,1,7.118826
74,855,45,119,45,16,11,4,32,1,0,1,6.751101
75,1072,42,104,37,16,6,8,35,1,0,1,6.977282
76,1040,40,115,49,15,8,15,35,1,0,1,6.946976
77,1000,50,97,45,12,17,15,36,1,0,1,6.907755
78,675,40,105,27,15,8,2,31,1,0,0,6.514713
79,1100,37,100,32,12,14,1,30,1,0,1,7.003066
80,996,50,114,41,12,5,14,31,1,0,1,6.903747
81,1200,40,96,48,11,15,3,37,1,0,1,7.090077
82,1694,30,113,30,15,9,8,29,0,0,1,7.434848
83,686,55,106,38,10,15,3,36,1,0,1,6.530878
84,754,40,104,37,13,9,5,32,1,0,1,6.625392
85,857,35,80,39,10,14,15,33,1,0,1,6.753438
86,832,50,104,30,13,4,2,30,1,0,1,6.723833
87,579,44,122,36,13,8,1,30,1,0,0,6.361302
88,672,61,96,38,12,13,3,34,1,0,1,6.510258
89,2500,40,95,51,15,12,9,36,1,0,1,7.824046
90,1076,45,105,24,12,5,8,31,0,0,1,6.981006
91,750,40,94,18,12,16,3,37,1,1,1,6.620073
92,1186,30,91,41,17,8,9,33,1,0,1,7.078341
93,833,48,96,37,16,9,7,31,1,0,1,6.725034
94,650,40,69,37,12,14,11,30,1,1,1,6.476973
95,1250,46,110,37,12,5,16,38,1,0,0,7.130899
96,1122,48,111,44,15,12,9,31,1,0,1,7.022868
97,865,40,110,35,16,1,11,31,1,0,1,6.76273
98,808,40,97,37,16,10,7,29,1,0,1,6.694562
99,1299,60,125,44,18,6,12,35,0,0,1,7.16935
100,903,40,91,39,12,6,12,36,1,0,1,6.805723
101,900,40,86,28,12,17,15,37,1,0,1,6.802395
102,625,40,110,32,12,18,0,35,1,0,1,6.437752
103,1586,40,92,47,14,16,1,36,1,0,1,7.36897
104,962,40,85,41,10,15,16,38,1,0,1,6.869014
105,1539,45,120,36,17,7,8,34,1,0,1,7.338888
106,1110,52,106,42,12,11,6,33,1,0,0,7.012115
107,1282,45,112,41,16,6,6,31,0,0,1,7.156177
108,770,48,91,39,12,13,2,38,1,0,1,6.64639
109,1000,45,90,42,12,16,0,38,1,0,1,6.907755
110,1205,40,86,32,10,13,0,32,1,1,1,7.094235
111,750,40,113,27,12,11,10,29,1,0,0,6.620073
112,654,50,111,51,13,5,16,38,1,0,1,6.483108
113,601,48,111,30,12,15,3,33,1,0,1,6.398595
114,600,40,106,32,13,10,11,28,1,0,1,6.39693
115,433,40,98,28,12,11,10,30,0,0,1,6.070738
116,1188,40,105,28,12,11,7,30,1,0,1,7.080027
117,635,40,105,29,12,15,15,33,1,0,0,6.453625
118,1225,40,118,44,13,9,14,32,1,0,1,7.110696
119,1151,45,90,38,12,19,19,36,1,0,1,7.048387
120,865,40,95,34,12,15,11,32,0,0,1,6.76273
121,1031,40,112,24,14,9,5,29,1,0,1,6.938284
122,1049,55,120,39,12,9,11,32,1,0,1,6.955593
123,1000,45,123,41,12,12,1,29,1,0,1,6.907755
124,1105,40,103,32,13,10,11,30,1,0,1,7.007601
125,1924,50,121,40,18,11,7,35,1,0,1,7.562161
126,1346,40,90,44,16,9,16,38,1,0,1,7.204893
127,809,65,125,32,12,11,10,29,1,0,1,6.695799
128,1495,45,109,34,18,10,3,32,1,0,1,7.309882
129,1346,50,128,46,16,10,1,33,0,0,0,7.204893
130,1200,40,97,35,12,10,4,31,1,0,1,7.090077
131,500,40,96,35,12,6,0,33,1,0,1,6.214608
132,1325,45,97,44,12,12,5,28,1,0,1,7.189168
133,900,40,78,21,12,16,5,33,1,1,1,6.802395
134,800,40,112,39,12,15,3,34,1,0,1,6.684612
135,800,40,88,32,12,16,7,38,1,0,1,6.684612
136,1034,40,97,39,12,15,16,36,1,0,1,6.94119
137,980,40,101,41,12,4,12,36,1,0,1,6.887553
138,884,40,106,42,10,19,12,34,1,0,1,6.784457
139,480,40,59,28,10,11,5,34,0,0,1,6.173786
140,923,40,105,54,18,7,14,34,1,0,1,6.827629
141,513,45,119,30,17,8,5,31,0,0,1,6.240276
142,1105,40,93,36,11,17,16,37,0,0,1,7.007601
143,1193,50,82,38,12,19,10,36,1,0,1,7.084227
144,2771,50,134,45,18,6,7,34,1,0,1,7.926963
145,779,40,84,29,12,9,6,30,1,0,1,6.658011
146,950,60,98,36,11,13,6,31,1,0,1,6.856462
147,1394,40,118,41,16,11,8,30,1,0,0,7.239933
148,1495,45,113,50,17,13,9,33,1,0,1,7.309882
149,650,40,100,18,12,4,3,28,1,0,1,6.476973
150,670,40,93,27,13,9,5,29,1,0,1,6.507277
151,1126,40,119,30,16,5,8,32,1,0,1,7.026427
152,450,64,67,19,12,11,1,33,0,1,1,6.109248
153,1028,40,111,28,12,19,12,37,1,1,1,6.93537
154,2404,50,106,38,15,8,0,32,1,0,1,7.784889
155,1899,40,127,49,18,9,14,36,0,0,1,7.549083
156,757,40,113,35,16,10,9,33,1,0,1,6.629363
157,1250,40,115,36,14,9,1,29,1,0,1,7.130899
158,1162,48,102,40,16,8,11,31,1,0,1,7.057898
159,1025,40,85,29,15,9,13,29,1,1,1,6.932448
160,1100,50,117,51,16,11,12,32,1,0,0,7.003066
161,1452,35,69,33,16,12,15,38,1,1,1,7.280697
162,1391,50,109,38,12,14,8,32,1,1,1,7.237778
163,1063,40,90,38,12,14,12,32,1,1,1,6.968851
164,808,40,99,40,12,18,13,38,1,1,1,6.694562
165,537,40,97,32,12,14,8,31,0,1,1,6.285998
166,1082,55,95,40,12,11,4,29,1,1,1,6.986567
167,548,40,86,22,11,7,0,33,1,1,1,6.306275
168,1202,40,84,21,14,6,5,31,1,1,1,7.091742
169,952,40,99,34,13,10,10,31,1,1,1,6.858565
170,1016,40,72,18,10,14,15,37,1,1,1,6.923629
171,800,40,88,29,10,21,14,37,1,1,1,6.684612
172,796,48,119,31,13,16,15,37,1,1,1,6.679599
173,841,48,110,37,18,13,1,37,0,1,1,6.734591
174,1100,40,92,37,13,21,12,38,1,1,1,7.003066
175,1126,40,116,33,12,5,0,31,1,1,1,7.026427
176,1000,40,70,18,12,12,5,32,0,1,1,6.907755
177,940,48,104,25,12,13,0,32,1,1,1,6.84588
178,318,40,67,35,12,16,5,36,1,1,1,5.762052
179,556,40,69,26,11,13,9,34,0,1,1,6.320768
180,995,40,92,23,9,22,13,38,1,1,1,6.902743
181,400,40,90,36,10,12,1,32,1,1,1,5.991465
182,508,50,87,35,12,16,1,32,1,1,1,6.230482
183,1199,43,70,28,13,13,5,30,1,1,1,7.089243
184,963,40,85,32,14,9,9,28,1,1,1,6.870053
185,802,40,99,26,12,13,12,29,1,1,1,6.687109
186,642,45,93,18,12,12,7,30,1,1,1,6.464588
187,962,40,120,39,16,8,9,32,1,0,0,6.869014
188,840,40,105,39,12,19,15,38,1,0,0,6.733402
189,866,40,121,30,16,7,4,28,1,0,0,6.763885
190,2404,50,96,42,14,1,1,36,1,0,1,7.784889
191,1126,40,110,26,12,16,2,32,1,0,1,7.026427
192,1160,40,92,32,12,8,8,31,1,0,0,7.056175
193,723,40,98,34,12,15,5,38,1,0,1,6.583409
194,1778,40,109,43,16,14,13,36,1,0,1,7.483244
195,1903,48,118,44,18,13,5,36,1,0,0,7.551187
196,1010,40,97,42,18,7,14,34,1,0,1,6.917706
197,971,40,95,42,17,5,11,37,1,0,1,6.878326
